id,name,description,price,stock_quantity,category_id
58,ShopX cool_stuff Product 58,ShopX catalog item in cool_stuff. Photos=1; weight_g=1100.0.,53.9,11,24
59,ShopX stationery Product 59,ShopX catalog item in stationery. Photos=3; weight_g=1400.0.,169.0,11,70
60,ShopX toys Product 60,ShopX catalog item in toys. Photos=4; weight_g=250.0.,149.0,11,73
61,ShopX sports_leisure Product 61,ShopX catalog item in sports_leisure. Photos=1; weight_g=1050.0.,121.87,11,69
62,ShopX stationery Product 62,ShopX catalog item in stationery. Photos=1; weight_g=500.0.,59.0,11,70
63,ShopX health_beauty Product 63,ShopX catalog item in health_beauty. Photos=1; weight_g=1467.0.,29.9,11,47
64,ShopX fashion_bags_accessories Product 64,ShopX catalog item in fashion_bags_accessories. Photos=3; weight_g=100.0.,79.9,11,32
65,ShopX stationery Product 65,ShopX catalog item in stationery. Photos=1; weight_g=100.0.,58.0,11,70
66,ShopX stationery Product 66,ShopX catalog item in stationery. Photos=2; weight_g=300.0.,136.0,11,70
67,ShopX sports_leisure Product 67,ShopX catalog item in sports_leisure. Photos=2; weight_g=950.0.,99.9,11,69
68,ShopX garden_tools Product 68,ShopX catalog item in garden_tools. Photos=1; weight_g=250.0.,7.79,11,46
69,ShopX computers Product 69,ShopX catalog item in computers. Photos=1; weight_g=12000.0.,599.0,12,18
70,ShopX auto Product 70,ShopX catalog item in auto. Photos=6; weight_g=921.0.,178.9,11,9
71,ShopX home_construction Product 71,ShopX catalog item in home_construction. Photos=1; weight_g=10000.0.,452.6,11,52
72,ShopX watches_gifts Product 72,ShopX catalog item in watches_gifts. Photos=2; weight_g=250.0.,99.9,11,74
73,ShopX cool_stuff Product 73,ShopX catalog item in cool_stuff. Photos=3; weight_g=1200.0.,138.9,11,24
74,ShopX construction_tools_construction Product 74,ShopX catalog item in construction_tools_construction. Photos=1; weight_g=4800.0.,169.0,11,21
75,ShopX pet_shop Product 75,ShopX catalog item in pet_shop. Photos=1; weight_g=700.0.,59.0,11,64
76,ShopX health_beauty Product 76,ShopX catalog item in health_beauty. Photos=3; weight_g=1050.0.,64.9,11,47
77,ShopX small_appliances Product 77,ShopX catalog item in small_appliances. Photos=3; weight_g=350.0.,29.99,11,67
78,ShopX perfumery Product 78,ShopX catalog item in perfumery. Photos=1; weight_g=422.0.,339.0,13,63
79,ShopX watches_gifts Product 79,ShopX catalog item in watches_gifts. Photos=1; weight_g=317.0.,149.0,11,74
80,ShopX agro_industry_and_commerce Product 80,ShopX catalog item in agro_industry_and_commerce. Photos=1; weight_g=16400.0.,57.0,11,4
81,ShopX health_beauty Product 81,ShopX catalog item in health_beauty. Photos=1; weight_g=938.0.,254.0,11,47
82,ShopX health_beauty Product 82,ShopX catalog item in health_beauty. Photos=1; weight_g=2700.0.,99.9,11,47
83,ShopX bed_bath_table Product 83,ShopX catalog item in bed_bath_table. Photos=1; weight_g=1750.0.,180.0,11,11
84,ShopX garden_tools Product 84,ShopX catalog item in garden_tools. Photos=1; weight_g=3850.0.,355.99,11,46
85,ShopX perfumery Product 85,ShopX catalog item in perfumery. Photos=2; weight_g=267.0.,399.9,11,63
86,ShopX musical_instruments Product 86,ShopX catalog item in musical_instruments. Photos=3; weight_g=16200.0.,239.0,11,60
87,ShopX bed_bath_table Product 87,ShopX catalog item in bed_bath_table. Photos=2; weight_g=1400.0.,89.9,11,11
88,ShopX bed_bath_table Product 88,ShopX catalog item in bed_bath_table. Photos=1; weight_g=6450.0.,649.9,11,11
89,ShopX furniture_decor Product 89,ShopX catalog item in furniture_decor. Photos=3; weight_g=2300.0.,119.9,11,43
90,ShopX computers_accessories Product 90,ShopX catalog item in computers_accessories. Photos=2; weight_g=300.0.,139.9,11,19
91,ShopX sports_leisure Product 91,ShopX catalog item in sports_leisure. Photos=1; weight_g=600.0.,89.9,11,69
92,ShopX health_beauty Product 92,ShopX catalog item in health_beauty. Photos=1; weight_g=3600.0.,126.0,11,47
93,ShopX health_beauty Product 93,ShopX catalog item in health_beauty. Photos=6; weight_g=150.0.,32.0,12,47
94,ShopX sports_leisure Product 94,ShopX catalog item in sports_leisure. Photos=4; weight_g=400.0.,49.9,11,69
95,ShopX telephony Product 95,ShopX catalog item in telephony. Photos=1; weight_g=100.0.,24.45,11,72
96,ShopX furniture_decor Product 96,ShopX catalog item in furniture_decor. Photos=2; weight_g=800.0.,75.9,11,43
97,ShopX auto Product 97,ShopX catalog item in auto. Photos=6; weight_g=5250.0.,59.9,11,9
98,ShopX auto Product 98,ShopX catalog item in auto. Photos=1; weight_g=200.0.,29.9,11,9
99,ShopX watches_gifts Product 99,ShopX catalog item in watches_gifts. Photos=2; weight_g=335.0.,689.0,11,74
100,ShopX bed_bath_table Product 100,ShopX catalog item in bed_bath_table. Photos=1; weight_g=1300.0.,40.0,11,11
101,ShopX furniture_decor Product 101,ShopX catalog item in furniture_decor. Photos=3; weight_g=150.0.,9.99,11,43
102,ShopX computers_accessories Product 102,ShopX catalog item in computers_accessories. Photos=3; weight_g=367.0.,298.0,11,19
103,ShopX watches_gifts Product 103,ShopX catalog item in watches_gifts. Photos=4; weight_g=250.0.,65.0,12,74
104,ShopX furniture_decor Product 104,ShopX catalog item in furniture_decor. Photos=1; weight_g=8500.0.,199.99,11,43
105,ShopX baby Product 105,ShopX catalog item in baby. Photos=1; weight_g=2150.0.,229.99,11,10
106,ShopX Other Product 106,ShopX catalog item in Other. Photos=0; weight_g=650.0.,99.3,11,1
107,ShopX sports_leisure Product 107,ShopX catalog item in sports_leisure. Photos=4; weight_g=150.0.,63.9,11,69
108,ShopX bed_bath_table Product 108,ShopX catalog item in bed_bath_table. Photos=1; weight_g=650.0.,86.45,11,11
109,ShopX small_appliances Product 109,ShopX catalog item in small_appliances. Photos=4; weight_g=2700.0.,219.9,11,67
110,ShopX housewares Product 110,ShopX catalog item in housewares. Photos=1; weight_g=1200.0.,46.99,11,53
111,ShopX furniture_living_room Product 111,ShopX catalog item in furniture_living_room. Photos=2; weight_g=6050.0.,139.9,11,44
112,ShopX sports_leisure Product 112,ShopX catalog item in sports_leisure. Photos=1; weight_g=150.0.,49.9,12,69
113,ShopX home_construction Product 113,ShopX catalog item in home_construction. Photos=6; weight_g=1050.0.,119.85,12,52
114,ShopX pet_shop Product 114,ShopX catalog item in pet_shop. Photos=1; weight_g=1350.0.,399.0,11,64
115,ShopX housewares Product 115,ShopX catalog item in housewares. Photos=1; weight_g=600.0.,24.2,12,53
116,ShopX furniture_decor Product 116,ShopX catalog item in furniture_decor. Photos=1; weight_g=1000.0.,77.0,11,43
117,ShopX bed_bath_table Product 117,ShopX catalog item in bed_bath_table. Photos=2; weight_g=1550.0.,95.9,11,11
118,ShopX bed_bath_table Product 118,ShopX catalog item in bed_bath_table. Photos=1; weight_g=2700.0.,117.99,12,11
119,ShopX telephony Product 119,ShopX catalog item in telephony. Photos=9; weight_g=200.0.,39.99,11,72
120,ShopX luggage_accessories Product 120,ShopX catalog item in luggage_accessories. Photos=1; weight_g=800.0.,47.9,11,57
121,ShopX perfumery Product 121,ShopX catalog item in perfumery. Photos=3; weight_g=377.0.,137.9,11,63
122,ShopX sports_leisure Product 122,ShopX catalog item in sports_leisure. Photos=3; weight_g=400.0.,136.0,11,69
123,ShopX signaling_and_security Product 123,ShopX catalog item in signaling_and_security. Photos=1; weight_g=450.0.,47.4,11,66
124,ShopX air_conditioning Product 124,ShopX catalog item in air_conditioning. Photos=1; weight_g=2000.0.,110.3,11,5
125,ShopX fashion_bags_accessories Product 125,ShopX catalog item in fashion_bags_accessories. Photos=1; weight_g=300.0.,13.3,11,32
126,ShopX furniture_decor Product 126,ShopX catalog item in furniture_decor. Photos=1; weight_g=250.0.,47.9,11,43
127,ShopX sports_leisure Product 127,ShopX catalog item in sports_leisure. Photos=2; weight_g=1950.0.,209.9,11,69
128,ShopX telephony Product 128,ShopX catalog item in telephony. Photos=2; weight_g=500.0.,199.0,11,72
129,ShopX Other Product 129,ShopX catalog item in Other. Photos=0; weight_g=300.0.,99.77,11,1
130,ShopX art Product 130,ShopX catalog item in art. Photos=6; weight_g=7900.0.,250.0,11,6
131,ShopX bed_bath_table Product 131,ShopX catalog item in bed_bath_table. Photos=2; weight_g=1800.0.,99.88,11,11
132,ShopX garden_tools Product 132,ShopX catalog item in garden_tools. Photos=1; weight_g=900.0.,74.14,11,46
133,ShopX fashion_bags_accessories Product 133,ShopX catalog item in fashion_bags_accessories. Photos=7; weight_g=200.0.,38.0,11,32
134,ShopX baby Product 134,ShopX catalog item in baby. Photos=4; weight_g=4500.0.,269.0,11,10
135,ShopX consoles_games Product 135,ShopX catalog item in consoles_games. Photos=3; weight_g=250.0.,29.99,11,20
136,ShopX housewares Product 136,ShopX catalog item in housewares. Photos=1; weight_g=550.0.,13.1,11,53
137,ShopX luggage_accessories Product 137,ShopX catalog item in luggage_accessories. Photos=4; weight_g=1100.0.,181.0,11,57
138,ShopX bed_bath_table Product 138,ShopX catalog item in bed_bath_table. Photos=1; weight_g=3600.0.,109.0,11,11
139,ShopX consoles_games Product 139,ShopX catalog item in consoles_games. Photos=1; weight_g=100.0.,168.99,11,20
140,ShopX sports_leisure Product 140,ShopX catalog item in sports_leisure. Photos=2; weight_g=150.0.,49.9,11,69
141,ShopX sports_leisure Product 141,ShopX catalog item in sports_leisure. Photos=1; weight_g=3775.0.,39.53,11,69
142,ShopX cool_stuff Product 142,ShopX catalog item in cool_stuff. Photos=2; weight_g=1400.0.,125.0,11,24
143,ShopX consoles_games Product 143,ShopX catalog item in consoles_games. Photos=5; weight_g=900.0.,703.9,11,20
144,ShopX watches_gifts Product 144,ShopX catalog item in watches_gifts. Photos=2; weight_g=250.0.,99.0,11,74
145,ShopX toys Product 145,ShopX catalog item in toys. Photos=1; weight_g=350.0.,60.0,11,73
146,ShopX Other Product 146,ShopX catalog item in Other. Photos=0; weight_g=200.0.,45.9,11,1
147,ShopX baby Product 147,ShopX catalog item in baby. Photos=3; weight_g=1800.0.,799.99,11,10
148,ShopX furniture_living_room Product 148,ShopX catalog item in furniture_living_room. Photos=2; weight_g=5050.0.,179.9,11,44
149,ShopX auto Product 149,ShopX catalog item in auto. Photos=1; weight_g=27100.0.,479.99,11,9
150,ShopX home_appliances Product 150,ShopX catalog item in home_appliances. Photos=1; weight_g=1500.0.,39.99,11,48
151,ShopX watches_gifts Product 151,ShopX catalog item in watches_gifts. Photos=2; weight_g=500.0.,319.9,11,74
152,ShopX bed_bath_table Product 152,ShopX catalog item in bed_bath_table. Photos=2; weight_g=350.0.,29.99,13,11
153,ShopX auto Product 153,ShopX catalog item in auto. Photos=3; weight_g=500.0.,179.49,11,9
154,ShopX sports_leisure Product 154,ShopX catalog item in sports_leisure. Photos=1; weight_g=1000.0.,110.0,11,69
155,ShopX Other Product 155,ShopX catalog item in Other. Photos=0; weight_g=18500.0.,84.9,11,1
156,ShopX toys Product 156,ShopX catalog item in toys. Photos=2; weight_g=300.0.,189.0,11,73
157,ShopX health_beauty Product 157,ShopX catalog item in health_beauty. Photos=1; weight_g=250.0.,129.9,11,47
158,ShopX health_beauty Product 158,ShopX catalog item in health_beauty. Photos=1; weight_g=10700.0.,24.99,11,47
159,ShopX housewares Product 159,ShopX catalog item in housewares. Photos=1; weight_g=1700.0.,110.0,11,53
160,ShopX garden_tools Product 160,ShopX catalog item in garden_tools. Photos=1; weight_g=7700.0.,879.0,11,46
161,ShopX sports_leisure Product 161,ShopX catalog item in sports_leisure. Photos=4; weight_g=5200.0.,547.99,11,69
162,ShopX telephony Product 162,ShopX catalog item in telephony. Photos=1; weight_g=125.0.,24.89,11,72
163,ShopX office_furniture Product 163,ShopX catalog item in office_furniture. Photos=1; weight_g=15700.0.,399.9,11,61
164,ShopX watches_gifts Product 164,ShopX catalog item in watches_gifts. Photos=2; weight_g=350.0.,399.9,11,74
165,ShopX sports_leisure Product 165,ShopX catalog item in sports_leisure. Photos=1; weight_g=213.0.,17.33,11,69
166,ShopX fashion_bags_accessories Product 166,ShopX catalog item in fashion_bags_accessories. Photos=3; weight_g=150.0.,23.99,11,32
167,ShopX auto Product 167,ShopX catalog item in auto. Photos=3; weight_g=18200.0.,499.99,11,9
168,ShopX housewares Product 168,ShopX catalog item in housewares. Photos=1; weight_g=850.0.,54.9,12,53
169,ShopX home_construction Product 169,ShopX catalog item in home_construction. Photos=6; weight_g=1050.0.,119.85,11,52
170,ShopX fashion_bags_accessories Product 170,ShopX catalog item in fashion_bags_accessories. Photos=5; weight_g=200.0.,34.9,11,32
171,ShopX housewares Product 171,ShopX catalog item in housewares. Photos=1; weight_g=300.0.,42.0,11,53
172,ShopX computers_accessories Product 172,ShopX catalog item in computers_accessories. Photos=1; weight_g=200.0.,119.9,11,19
173,ShopX sports_leisure Product 173,ShopX catalog item in sports_leisure. Photos=1; weight_g=800.0.,109.0,11,69
174,ShopX stationery Product 174,ShopX catalog item in stationery. Photos=2; weight_g=200.0.,131.0,11,70
175,ShopX sports_leisure Product 175,ShopX catalog item in sports_leisure. Photos=1; weight_g=698.0.,73.88,11,69
176,ShopX telephony Product 176,ShopX catalog item in telephony. Photos=6; weight_g=350.0.,29.99,14,72
177,ShopX books_general_interest Product 177,ShopX catalog item in books_general_interest. Photos=3; weight_g=1000.0.,117.9,11,12
178,ShopX computers_accessories Product 178,ShopX catalog item in computers_accessories. Photos=1; weight_g=783.0.,159.99,11,19
179,ShopX perfumery Product 179,ShopX catalog item in perfumery. Photos=2; weight_g=600.0.,99.8,11,63
180,ShopX toys Product 180,ShopX catalog item in toys. Photos=1; weight_g=11650.0.,99.9,11,73
181,ShopX costruction_tools_tools Product 181,ShopX catalog item in costruction_tools_tools. Photos=1; weight_g=400.0.,23.4,11,26
182,ShopX toys Product 182,ShopX catalog item in toys. Photos=1; weight_g=3050.0.,99.9,11,73
183,ShopX telephony Product 183,ShopX catalog item in telephony. Photos=1; weight_g=100.0.,24.9,11,72
184,ShopX garden_tools Product 184,ShopX catalog item in garden_tools. Photos=1; weight_g=16500.0.,739.0,11,46
185,ShopX housewares Product 185,ShopX catalog item in housewares. Photos=2; weight_g=750.0.,16.9,11,53
186,ShopX fashion_underwear_beach Product 186,ShopX catalog item in fashion_underwear_beach. Photos=1; weight_g=250.0.,59.9,11,37
187,ShopX luggage_accessories Product 187,ShopX catalog item in luggage_accessories. Photos=3; weight_g=2300.0.,104.97,11,57
188,ShopX electronics Product 188,ShopX catalog item in electronics. Photos=1; weight_g=1350.0.,12.9,12,30
189,ShopX housewares Product 189,ShopX catalog item in housewares. Photos=3; weight_g=530.0.,47.9,11,53
190,ShopX auto Product 190,ShopX catalog item in auto. Photos=1; weight_g=1300.0.,109.9,11,9
191,ShopX fashion_shoes Product 191,ShopX catalog item in fashion_shoes. Photos=5; weight_g=4000.0.,365.0,11,35
192,ShopX sports_leisure Product 192,ShopX catalog item in sports_leisure. Photos=4; weight_g=8150.0.,47.92,11,69
193,ShopX construction_tools_construction Product 193,ShopX catalog item in construction_tools_construction. Photos=1; weight_g=2200.0.,159.75,11,21
194,ShopX health_beauty Product 194,ShopX catalog item in health_beauty. Photos=1; weight_g=1150.0.,249.99,11,47
195,ShopX watches_gifts Product 195,ShopX catalog item in watches_gifts. Photos=4; weight_g=200.0.,49.0,13,74
196,ShopX furniture_decor Product 196,ShopX catalog item in furniture_decor. Photos=3; weight_g=400.0.,15.0,11,43
197,ShopX furniture_decor Product 197,ShopX catalog item in furniture_decor. Photos=4; weight_g=600.0.,45.0,11,43
198,ShopX Other Product 198,ShopX catalog item in Other. Photos=0; weight_g=300.0.,69.9,11,1
199,ShopX bed_bath_table Product 199,ShopX catalog item in bed_bath_table. Photos=1; weight_g=1200.0.,69.99,11,11
200,ShopX cool_stuff Product 200,ShopX catalog item in cool_stuff. Photos=5; weight_g=10664.0.,395.0,11,24
201,ShopX housewares Product 201,ShopX catalog item in housewares. Photos=2; weight_g=1800.0.,139.99,11,53
202,ShopX sports_leisure Product 202,ShopX catalog item in sports_leisure. Photos=3; weight_g=500.0.,93.33,11,69
203,ShopX stationery Product 203,ShopX catalog item in stationery. Photos=1; weight_g=258.0.,43.99,12,70
204,ShopX stationery Product 204,ShopX catalog item in stationery. Photos=1; weight_g=1400.0.,75.5,11,70
205,ShopX toys Product 205,ShopX catalog item in toys. Photos=1; weight_g=400.0.,79.9,11,73
206,ShopX air_conditioning Product 206,ShopX catalog item in air_conditioning. Photos=5; weight_g=1300.0.,99.5,12,5
207,ShopX bed_bath_table Product 207,ShopX catalog item in bed_bath_table. Photos=2; weight_g=1000.0.,59.0,11,11
208,ShopX pet_shop Product 208,ShopX catalog item in pet_shop. Photos=3; weight_g=1300.0.,817.0,11,64
209,ShopX toys Product 209,ShopX catalog item in toys. Photos=2; weight_g=3305.0.,139.9,11,73
210,ShopX baby Product 210,ShopX catalog item in baby. Photos=2; weight_g=6000.0.,110.0,11,10
211,ShopX computers_accessories Product 211,ShopX catalog item in computers_accessories. Photos=4; weight_g=300.0.,79.99,11,19
212,ShopX bed_bath_table Product 212,ShopX catalog item in bed_bath_table. Photos=1; weight_g=250.0.,24.9,15,11
213,ShopX perfumery Product 213,ShopX catalog item in perfumery. Photos=2; weight_g=400.0.,56.99,23,63
214,ShopX electronics Product 214,ShopX catalog item in electronics. Photos=1; weight_g=250.0.,32.9,11,30
215,ShopX toys Product 215,ShopX catalog item in toys. Photos=2; weight_g=1250.0.,44.99,11,73
216,ShopX fashion_male_clothing Product 216,ShopX catalog item in fashion_male_clothing. Photos=2; weight_g=950.0.,195.0,11,34
217,ShopX pet_shop Product 217,ShopX catalog item in pet_shop. Photos=6; weight_g=2000.0.,149.0,11,64
218,ShopX baby Product 218,ShopX catalog item in baby. Photos=7; weight_g=13575.0.,277.5,11,10
219,ShopX health_beauty Product 219,ShopX catalog item in health_beauty. Photos=1; weight_g=667.0.,28.58,11,47
220,ShopX watches_gifts Product 220,ShopX catalog item in watches_gifts. Photos=2; weight_g=267.0.,118.0,11,74
221,ShopX bed_bath_table Product 221,ShopX catalog item in bed_bath_table. Photos=2; weight_g=1750.0.,64.9,11,11
222,ShopX health_beauty Product 222,ShopX catalog item in health_beauty. Photos=1; weight_g=150.0.,45.0,11,47
223,ShopX toys Product 223,ShopX catalog item in toys. Photos=1; weight_g=10550.0.,34.99,11,73
224,ShopX housewares Product 224,ShopX catalog item in housewares. Photos=1; weight_g=1725.0.,145.0,11,53
225,ShopX luggage_accessories Product 225,ShopX catalog item in luggage_accessories. Photos=1; weight_g=700.0.,48.9,11,57
226,ShopX sports_leisure Product 226,ShopX catalog item in sports_leisure. Photos=1; weight_g=400.0.,65.9,11,69
227,ShopX stationery Product 227,ShopX catalog item in stationery. Photos=3; weight_g=300.0.,7.5,12,70
228,ShopX home_construction Product 228,ShopX catalog item in home_construction. Photos=1; weight_g=5850.0.,757.79,11,52
229,ShopX watches_gifts Product 229,ShopX catalog item in watches_gifts. Photos=1; weight_g=267.0.,158.9,11,74
230,ShopX bed_bath_table Product 230,ShopX catalog item in bed_bath_table. Photos=2; weight_g=1500.0.,95.03,11,11
231,ShopX cool_stuff Product 231,ShopX catalog item in cool_stuff. Photos=1; weight_g=400.0.,19.5,11,24
232,ShopX sports_leisure Product 232,ShopX catalog item in sports_leisure. Photos=1; weight_g=1300.0.,125.0,11,69
233,ShopX housewares Product 233,ShopX catalog item in housewares. Photos=1; weight_g=400.0.,18.95,11,53
234,ShopX art Product 234,ShopX catalog item in art. Photos=1; weight_g=150.0.,12.0,11,6
235,ShopX health_beauty Product 235,ShopX catalog item in health_beauty. Photos=1; weight_g=650.0.,34.89,11,47
236,ShopX consoles_games Product 236,ShopX catalog item in consoles_games. Photos=1; weight_g=706.0.,81.9,11,20
237,ShopX fashion_bags_accessories Product 237,ShopX catalog item in fashion_bags_accessories. Photos=1; weight_g=300.0.,19.99,11,32
238,ShopX bed_bath_table Product 238,ShopX catalog item in bed_bath_table. Photos=1; weight_g=4850.0.,286.0,11,11
239,ShopX auto Product 239,ShopX catalog item in auto. Photos=1; weight_g=825.0.,32.9,11,9
240,ShopX computers_accessories Product 240,ShopX catalog item in computers_accessories. Photos=1; weight_g=600.0.,29.99,11,19
241,ShopX sports_leisure Product 241,ShopX catalog item in sports_leisure. Photos=2; weight_g=700.0.,58.9,11,69
242,ShopX furniture_decor Product 242,ShopX catalog item in furniture_decor. Photos=1; weight_g=300.0.,19.9,11,43
243,ShopX housewares Product 243,ShopX catalog item in housewares. Photos=2; weight_g=1270.0.,49.9,11,53
244,ShopX costruction_tools_tools Product 244,ShopX catalog item in costruction_tools_tools. Photos=1; weight_g=450.0.,9.88,11,26
245,ShopX Other Product 245,ShopX catalog item in Other. Photos=0; weight_g=2200.0.,56.0,11,1
246,ShopX home_appliances Product 246,ShopX catalog item in home_appliances. Photos=1; weight_g=150.0.,84.0,11,48
247,ShopX garden_tools Product 247,ShopX catalog item in garden_tools. Photos=1; weight_g=200.0.,19.1,11,46
248,ShopX kitchen_dining_laundry_garden_furniture Product 248,ShopX catalog item in kitchen_dining_laundry_garden_furniture. Photos=1; weight_g=10893.0.,74.9,11,55
249,ShopX housewares Product 249,ShopX catalog item in housewares. Photos=1; weight_g=1800.0.,65.9,11,53
250,ShopX toys Product 250,ShopX catalog item in toys. Photos=2; weight_g=1220.0.,139.99,11,73
251,ShopX health_beauty Product 251,ShopX catalog item in health_beauty. Photos=6; weight_g=360.0.,165.9,11,47
